layer,head,gene,mean_attention_score
0,0,CTXN1,0.001980676781386137
0,0,POFUT1,0.0020181681029498577
0,0,MRPL24,0.0020360294729471207
0,0,IDO1,0.0020126726012676954
0,0,CMIP,0.001996752107515931
0,0,TUBGCP5,0.001980062108486891
0,0,CLN8,0.001970690907910466
0,0,SLC25A19,0.0020337130408734083
0,0,C5orf4,0.001994549995288253
0,0,ZNF350,0.0019978650379925966
0,0,LCE3C,0.0019973316229879856
0,0,LEO1,0.0020149601623415947
0,0,DKFZp451A211,0.0019972340669482946
0,0,C6orf185,0.0019628629088401794
0,0,RBMY2FP,0.0020143783185631037
0,0,WBP11P1,0.0020001332741230726
0,0,POLR2L,0.0019977730698883533
0,0,NUPR2,0.002233239123597741
0,0,MORC2-AS1,0.0020275874994695187
0,0,GNL3,0.0019982652738690376
0,0,IRX2,0.002003798261284828
0,0,C19orf48,0.001984235132113099
0,0,NOTUM,0.0020225157495588064
0,0,CIROP,0.001959992339834571
0,0,GIMAP5,0.001978811575099826
0,0,C17orf49,0.0019959115888923407
0,0,ISOC1,0.002005118876695633
0,0,OSTM1,0.0019975833129137754
0,0,ATP6V1D,0.0020086842123419046
0,0,WEE1,0.0020876682829111814
0,0,SOX4,0.0020013770554214716
0,0,SELENOI,0.002011065138503909
0,0,MECP2,0.0019822739996016026
0,0,SLC5A3,0.0020228412467986345
0,0,GNB2,0.0020108039025217295
0,0,CT45A6,0.0019714764785021544
0,0,TUBB4A,0.0019526666728779674
0,0,PDE4B,0.0020318811293691397
0,0,AK126075,0.0019838616717606783
0,0,MROH1,0.00201505608856678
0,0,IKBIP,0.00197186809964478
0,0,ZNF112,0.0020486852154135704
0,0,RPL6,0.002007027855142951
0,0,ZBTB14,0.0019684017170220613
0,0,OTUD6B,0.0019567415583878756
0,0,DNALI1,0.001955181360244751
0,0,NAT8B,0.001987673807889223
0,0,LCE5A,0.00201887427829206
0,0,IL1RN,0.0020298606250435114
0,0,LINC02111,0.001972995465621352
0,0,TEAD2,0.002032047836109996
0,0,FZD4-DT,0.001980587374418974
0,0,TNNI1,0.002010157098993659
0,0,LMF2,0.0019802169408649206
0,0,MAML2,0.0020974487997591496
0,0,CHD1,0.0019856318831443787
0,0,NAIF1,0.0019801876042038202
0,0,GDF15,0.001972511876374483
0,0,DCDC5,0.0020718828309327364
0,0,MTG2,0.0019761454313993454
0,0,H1-4,0.002017025835812092
0,0,CD40LG,0.0019613835029304028
0,0,PPP1R27,0.002048391615971923
0,0,LPO,0.001968986354768276
0,0,EIF2B2,0.0019903534557670355
0,0,ACTC1,0.0019665826112031937
0,0,ARHGAP35,0.0020366148091852665
0,0,PCNX4,0.0020880713127553463
0,0,TSPYL1,0.001976444385945797
0,0,GMDS,0.0020118087995797396
0,0,MORF4L2-AS1,0.001993786310777068
0,0,MAGEA6,0.0019665868021547794
0,0,NUTM2G,0.0019862689077854156
0,0,C2orf84,0.0019785966724157333
0,0,FBXO44,0.001984860748052597
0,0,TRPM2,0.0019793675746768713
0,0,GDPD2,0.002056505996733904
0,0,SPINK5,0.001986371586099267
0,0,EPS8L1,0.0019829440861940384
0,0,TCEAL8,0.0019649616442620754
0,0,BDKRB1,0.001999865984544158
0,0,MMADHC,0.0019760553259402514
0,0,RIC3,0.001951213926076889
0,0,WASHC5,0.001980370841920376
0,0,NKX1-2,0.001964027062058449
0,0,CR1,0.0020084299612790346
0,0,FLJ40292,0.001979745924472809
0,0,RALGPS1,0.0019915432203561068
0,0,ANKLE1,0.0019910873379558325
0,0,PYY,0.0019977407064288855
0,0,ZMYND12,0.0019849843811243773
0,0,RPAP2,0.0020358790643513203
0,0,MGC4294,0.0019667004235088825
0,0,OR10K1,0.0019788306672126055
0,0,TFE3,0.0020392639562487602
0,0,MYL12BP2,0.0019909541588276625
0,0,BRPF3,0.001998445950448513
0,0,SUMO1P1,0.0019583506509661674
0,0,WDR97,0.0019683705177158117
0,0,SCRN3,0.0019788751378655434
0,0,SDHALP2,0.002021406078711152
0,0,ZNF786,0.0019822746980935335
0,0,FAM151B,0.00200643134303391
0,0,CSTL1,0.0020700981840491295
0,0,RASGRP3,0.001976526342332363
0,0,PTF1A,0.001985604874789715
0,0,PTH1R,0.0020062208641320467
0,0,CNOT8,0.0020148579496890306
0,0,CAPN11,0.0019947870168834925
0,0,PTS,0.0020511536858975887
0,0,L3MBTL,0.0019831762183457613
0,0,WDR72,0.001970432000234723
0,0,HESX1,0.0020149543415755033
0,0,PSG7,0.0019673267379403114
0,0,CRISP1,0.0019739666022360325
0,0,WDR25,0.001981590874493122
0,0,ANKRD24,0.0019821361638605595
0,0,THYN1,0.0019718175753951073
0,0,ST6GALNAC3,0.0019652838818728924
0,0,F3,0.0019951292779296637
0,0,STARD3NL,0.0019942782819271088
0,0,TMEM63A,0.0020027614664286375
0,0,GTF2IRD2B,0.001977168722078204
0,0,CEBPG,0.0019931539427489042
0,0,ADCY8,0.001974731683731079
0,0,NBEAP1,0.0020143429283052683
0,0,CCDC33,0.0019997102208435535
0,0,NASP,0.0021090174559503794
0,0,SOST,0.0020006003323942423
0,0,AUTS2,0.001969514414668083
0,0,PRAMEF10,0.0019749647472053766
0,0,SOX6,0.0019806909840554
0,0,LINC03007,0.001991967437788844
0,0,NUDT19,0.002128096530213952
0,0,PROZ,0.002012386452406645
0,0,ACSM5,0.0019809503573924303
0,0,ZDHHC17,0.002003967296332121
0,0,IL2RA,0.001977901440113783
0,0,WAKMAR2,0.0020184095483273268
0,0,CCNG1,0.0019837224390357733
0,0,PLD4,0.0020078348461538553
0,0,ZFR2,0.0020109645556658506
0,0,TTPA,0.0020247430074959993
0,0,FAM185A,0.001988332951441407
0,0,DDX53,0.0020607509650290012
0,0,TMEM236,0.0020011498127132654
0,0,KIF7,0.001983687747269869
0,0,FAM222A,0.001992790959775448
0,0,OGN,0.0019705186132341623
0,0,PTPN3,0.00205620052292943
0,0,SH3BGRL3,0.0019902901258319616
0,0,TUBGCP2,0.0020129999611526728
0,0,LCMT1,0.0019944526720792055
0,0,SDC4,0.001973996637389064
0,0,ZNF233,0.0019662969280034304
0,0,LINC00189,0.001997658982872963
0,0,ZNF516,0.001968025928363204
0,0,RPGRIP1L,0.0019738124683499336
0,0,IRAK1,0.002001433400437236
0,0,PIM1,0.001971394056454301
0,0,MSANTD3,0.0020459347870200872
0,0,UBE2DNL,0.0020212328527122736
0,0,PGPEP1,0.0019867962691932917
0,0,FERD3L,0.0019623925909399986
0,0,ABCG5,0.0020358143374323845
0,0,B3GNT2,0.0020030587911605835
0,0,LOC401442,0.002016996731981635
0,0,SERPINB1,0.0020016466733068228
0,0,MIIP,0.0019833629485219717
0,0,ACTL7A,0.001989599782973528
0,0,TBXAS1,0.0020073107443749905
0,0,DSC3,0.001965493196621537
0,0,YTHDF2,0.0019944324158132076
0,0,IL13RA1,0.0019715330563485622
0,0,EFCAB13,0.0019892221316695213
0,0,RBM10,0.002000964479520917
0,0,UTP18,0.0019982100930064917
0,0,GTPBP10,0.001989529235288501
0,0,GSTP1,0.002105084480717778
0,0,PRRT4,0.0019947635009884834
0,0,STPG2,0.002014466794207692
0,0,LOC389906,0.002099443692713976
0,0,CES1P1,0.002002493478357792
0,0,SH3BP2,0.00201918906532228
0,0,MCAT,0.0019791857339441776
0,0,PPP6C,0.0019842227920889854
0,0,SMARCA2,0.002017551101744175
0,0,MGST3,0.0019790937658399343
0,0,CLEC4M,0.0021501483861356974
0,0,TMEM47,0.002019417006522417
0,0,NPDC1,0.0019609665032476187
0,0,LOC150005,0.002016621408984065
0,0,LY6E,0.0019905457738786936
0,0,CYC1,0.0019911439158022404
0,0,FAM180A,0.0020892510656267405
0,0,TM6SF1,0.0019914491567760706
0,0,ANKRD28,0.0019811796955764294
0,0,CPE,0.0019708480685949326
0,0,SIX1,0.002011819975450635
0,0,CRIPAK,0.002002051565796137
0,0,DEFB103B,0.0019677241798490286
0,0,BC048428,0.001958929467946291
0,0,SPOUT1,0.0019755116663873196
0,0,KLHDC3,0.0020172246731817722
0,0,KRT25,0.002182519994676113
0,0,CH25H,0.00203515961766243
0,0,LINC02817,0.0020056164357811213
0,0,PRODH,0.00198225025087595
0,0,PPP1R11,0.001992761855944991
0,0,POPDC3,0.002104338724166155
0,0,SPECC1,0.002013476798310876
0,0,GAFA3,0.0019893392454832792
0,0,SPATA22,0.002045513829216361
0,0,PIGL,0.0019689304754137993
0,0,CFAP53,0.0019865611102432013
0,0,TGS1,0.002053988166153431
0,0,PEX2,0.00206092675216496
0,0,RAB14,0.0020397957414388657
0,0,CDC73,0.00198412430472672
0,0,SPOCK3,0.0020761913619935513
0,0,INTS4P1,0.0019772432278841734
0,0,IP6K1,0.0019642466213554144
0,0,RBCK1,0.0019786832854151726
0,0,SLC1A6,0.001969090197235346
0,0,USP14,0.001977711683139205
0,0,MIEF1,0.001987558789551258
0,0,PIP5K1B,0.0020353051368147135
0,0,AFF1,0.00202920357696712
0,0,EIF5B,0.0020517329685389996
0,0,LINC00662,0.001986890332773328
0,0,GTDC1,0.002007477916777134
0,0,TRPC1,0.001976063009351492
0,0,BPIFB2,0.001962360693141818
0,0,CT55,0.0020116346422582865
0,0,KRTAP4-8,0.002016210462898016
0,0,NMU,0.0020404516253620386
0,0,LOC441179,0.0020006506238132715
0,0,LOC440149,0.001978726591914892
