covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
PACRG,0.03825398300746088,1.0389950864667132,0.024278264734030712,-0.009330541478368232,0.08583850749328999,0.9907128529543776,1.089630346959559,0.0,1.5756473300927671,0.11510710199604125,3.118951245792735
LIPK,0.030966568551877162,1.0314510204088296,0.023885929562113266,-0.01584899312712542,0.07778213023087974,0.9842759412655268,1.080887140383137,0.0,1.2964355635124567,0.19482546633245693,2.359745825320175
HBCBP,0.030055686114783837,1.0305119175606943,0.024010920835728013,-0.01700485395888544,0.07711622618845311,0.9831389125074677,1.0801676128616795,0.0,1.2517506646417855,0.21066073229314936,2.2470066777686384
MAP1B,0.030038408645191538,1.0304941130761829,0.025089990328628214,-0.019137068771378034,0.07921388606176111,0.9810448824098252,1.0824358152464826,0.0,1.197226792507651,0.23121816960155187,2.1126733226366454
C2orf84,0.029806309028884606,1.0302549635422624,0.023712305571261205,-0.016668955881195824,0.07628157393896504,0.9834692024470534,1.0792664246754713,0.0,1.2569975087116454,0.20875453769673025,2.2601205371022606
SGCA,0.02972372992810739,1.0301698895265181,0.023912527081267617,-0.017143961930515834,0.07659142178673062,0.9830021595594511,1.0796008848675323,0.0,1.2430191851781363,0.21386076382162444,2.225256273591847
AFM,0.029544454326688663,1.0299852217537173,0.02335588993219785,-0.016232248767300773,0.0753211574206781,0.9838987842379434,1.0782303769718822,0.0,1.2649680407150494,0.2058827846195773,2.2801048942630784
RFT1,0.029405921817529254,1.0298425451994495,0.02388677797286979,-0.017411302716000214,0.07622314635105873,0.9827393981149722,1.0792033675837243,0.0,1.2310543452502476,0.21830253927728094,2.195599183150347
OR2L1P,0.029177526222147178,1.0296073605567795,0.023429725477089748,-0.016743891880609263,0.07509894432490362,0.9833955079606952,1.0779908066806712,0.0,1.2453208745735325,0.21301382548600536,2.230981024470071
PCDHA11,0.028905794204578485,1.029327621280172,0.02384439128681104,-0.017828353950851826,0.07563994236000879,0.9823296308883542,1.0785741553699661,0.0,1.2122680699576944,0.22540978225136285,2.1493779684664283
ACTRT3,0.028513647209938583,1.0289240526812655,0.02437668041258548,-0.01926376846137194,0.07629106288124911,0.9809205922012856,1.079276665820873,0.0,1.1697100149541781,0.24211768647622334,2.04621962414387
SCAMP2,0.02840179186098433,1.0288089684588182,0.025421589566160103,-0.02142360811844869,0.07822719184041735,0.9788042473113292,1.0813683088204213,0.0,1.1172311545298221,0.26389550306594445,1.921961328382855
SRFBP1,0.027377892721142157,1.0277561109428859,0.02526882221763924,-0.022148088757176294,0.07690387419946061,0.9780953793965932,1.079938261473117,0.0,1.0834653267705787,0.2786019330295566,1.843722827032617
