gene,mean_gate_score,std_gate_score
MUC15,0.7116082,0.080473505
OR10D1P,0.70499176,0.07832249
IL12A,0.704451,0.08089309
TBCB,0.69802374,0.07410254
TAFA4,0.69789124,0.085243344
SLC6A14,0.6962834,0.074952915
OR2L1P,0.69567037,0.0854556
TGM4,0.6945558,0.087417684
SLC22A25,0.6941899,0.0922781
PLD2,0.6934272,0.08649216
KRTAP20-4,0.6919736,0.10157458
ERC1,0.69167334,0.09004095
SPATA4,0.69158065,0.10652367
IFNA10,0.69125813,0.0948399
EPB41L4A-DT,0.6901132,0.11610963
TMEM41A,0.68859,0.07894486
LOC105378146,0.68439394,0.08986723
SNORD100,0.68406606,0.08746529
SNORD4A,0.682877,0.12021065
ZC2HC1A,0.6828103,0.0742945
FERD3L,0.6798205,0.08639021
SULT1E1,0.67952734,0.09937653
ABCG5,0.6794338,0.10222891
CD3G,0.67921716,0.091985896
NME8,0.6786568,0.0787482
XPOT,0.67782766,0.074937
PTPN22,0.677822,0.092368424
CLNS1A,0.6767263,0.09586833
GRIP1,0.6763483,0.13007137
LOC728316,0.6763197,0.11924929
FAM86C2P,0.67605585,0.12556297
HTR3D,0.6756799,0.07693649
ABCF2,0.67324954,0.10328631
OGN,0.67278236,0.11028118
FAM53C,0.6721907,0.07192293
FXYD6,0.6720388,0.07318428
LOC389834,0.67200875,0.07897419
POFUT2,0.6699752,0.10098577
TUBB2B,0.669754,0.08939931
RACK1,0.669739,0.08209377
KPNA2,0.6696511,0.07453047
ZNF662,0.6694428,0.078345776
ENG,0.66779643,0.12769113
TGM3,0.66725713,0.087515555
RABGAP1,0.6668934,0.098730914
FUCA2,0.66560316,0.09112104
EVI5,0.66469544,0.106356055
ARHGAP5,0.6640845,0.079493456
GPAM,0.6625613,0.06277776
USP21,0.66243964,0.08171877
MLLT4,0.66222394,0.074010246
TC2N,0.66204166,0.09857487
NXPE4,0.6618552,0.09440814
MAP7D3,0.66081804,0.08500363
LOXL3,0.6604954,0.10296897
FABP6,0.6603177,0.08005518
BHLHE22,0.6602199,0.09692032
EFCAB13,0.65999043,0.09373697
LAPTM4A,0.6591101,0.07845546
MPND,0.65870386,0.08766463
ABHD12,0.6576648,0.12423963
CROCC,0.657517,0.07894274
CXorf1,0.65705615,0.08834568
CARD18,0.65655845,0.09515249
FAM171A2,0.6565009,0.0849033
IGFBP5,0.6559967,0.076388665
PPIL3,0.6557611,0.094167754
FXYD5,0.6551989,0.08710887
UGT2B17,0.6550075,0.08215409
PRMT3,0.6535075,0.07556536
KCNA10,0.6533434,0.09827745
ASB4,0.6531022,0.07606183
VHL,0.6527805,0.07799323
RNF185,0.65230215,0.071896374
NSUN3,0.652012,0.08178067
LENG1,0.65165025,0.09627285
VOPP1,0.650825,0.08186581
UQCRQ,0.64978474,0.08957993
EIF2B2,0.6494413,0.116892934
TRIML2,0.6492179,0.09120476
POM121C,0.6489026,0.08501838
TCHP,0.6485398,0.097114235
ADIRF,0.6479025,0.08489483
KLHL21,0.6477089,0.07587728
HTR2A,0.6474387,0.089005366
ACSM1,0.64643294,0.07093025
KCNT1,0.64612263,0.115831
