Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,source
KEGG_2021_Human,Ascorbate and aldarate metabolism,1/30,0.0383007358905153,0.1989375293782112,0,0,27.51034482758621,89.74661743899148,UGT2B17,all_perturbation
KEGG_2021_Human,Pentose and glucuronate interconversions,1/34,0.0432996732000933,0.1989375293782112,0,0,24.17090909090909,75.88723251587066,UGT2B17,all_perturbation
KEGG_2021_Human,Tyrosine metabolism,1/36,0.0457897633734358,0.1989375293782112,0,0,22.78742857142857,70.2694731674912,DBH,all_perturbation
KEGG_2021_Human,African trypanosomiasis,1/37,0.0470324704132764,0.1989375293782112,0,0,22.15333333333333,67.72090251278901,IL12A,all_perturbation
KEGG_2021_Human,Allograft rejection,1/38,0.048273621231532,0.1989375293782112,0,0,21.553513513513515,65.32589775680604,IL12A,all_perturbation
KEGG_2021_Human,Porphyrin and chlorophyll metabolism,1/43,0.0544560975367494,0.1989375293782112,0,0,18.982857142857146,55.24695668935345,UGT2B17,all_perturbation
KEGG_2021_Human,Type I diabetes mellitus,1/43,0.0544560975367494,0.1989375293782112,0,0,18.982857142857146,55.24695668935345,IL12A,all_perturbation
KEGG_2021_Human,Malaria,1/50,0.0630467249540435,0.1989375293782112,0,0,16.26530612244898,44.95534064809558,IL12A,all_perturbation
KEGG_2021_Human,Legionellosis,1/57,0.0715622802585043,0.1989375293782112,0,0,14.227142857142857,37.51963840746828,IL12A,all_perturbation
KEGG_2021_Human,Steroid hormone biosynthesis,1/61,0.0763948485723595,0.1989375293782112,0,0,13.276,34.14374800125462,UGT2B17,all_perturbation
KEGG_2021_Human,Inflammatory bowel disease,1/65,0.0812032260122347,0.1989375293782112,0,0,12.44375,31.243771275296563,IL12A,all_perturbation
KEGG_2021_Human,Retinol metabolism,1/68,0.0847937037877674,0.1989375293782112,0,0,11.884776119402986,29.326088999262875,UGT2B17,all_perturbation
KEGG_2021_Human,RIG-I-like receptor signaling pathway,1/70,0.0871798564516168,0.1989375293782112,0,0,11.539130434782608,28.152962485204668,IL12A,all_perturbation
KEGG_2021_Human,PPAR signaling pathway,1/74,0.0919342286311367,0.1989375293782112,0,0,10.904657534246576,26.025948367758343,FABP6,all_perturbation
KEGG_2021_Human,Pertussis,1/76,0.0943024769061604,0.1989375293782112,0,0,10.6128,25.05945090071607,IL12A,all_perturbation
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,1/76,0.0943024769061604,0.1989375293782112,0,0,10.6128,25.05945090071607,UGT2B17,all_perturbation
KEGG_2021_Human,Leishmaniasis,1/77,0.0954843728779991,0.1989375293782112,0,0,10.472631578947368,24.598040389517,IL12A,all_perturbation
KEGG_2021_Human,Bile secretion,1/90,0.110714709599323,0.1989375293782112,0,0,8.937078651685393,19.66870991707492,UGT2B17,all_perturbation
KEGG_2021_Human,Th1 and Th2 cell differentiation,1/92,0.1130358410465752,0.1989375293782112,0,0,8.73978021978022,19.05316077984729,IL12A,all_perturbation
KEGG_2021_Human,Amoebiasis,1/102,0.124554389413718,0.1989375293782112,0,0,7.87049504950495,16.39434189671731,IL12A,all_perturbation
KEGG_2021_Human,Chagas disease,1/102,0.124554389413718,0.1989375293782112,0,0,7.87049504950495,16.39434189671731,IL12A,all_perturbation
KEGG_2021_Human,Toll-like receptor signaling pathway,1/104,0.1268407751212756,0.1989375293782112,0,0,7.716893203883495,15.934016402186291,IL12A,all_perturbation
KEGG_2021_Human,C-type lectin receptor signaling pathway,1/104,0.1268407751212756,0.1989375293782112,0,0,7.716893203883495,15.934016402186291,IL12A,all_perturbation
