Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Ascorbate and aldarate metabolism	1/30	3.830074e-02	1.989375e-01	0	0	2.751034e+01	8.974662e+01	UGT2B17
KEGG_2021_Human	Pentose and glucuronate interconversions	1/34	4.329967e-02	1.989375e-01	0	0	2.417091e+01	7.588723e+01	UGT2B17
KEGG_2021_Human	Tyrosine metabolism	1/36	4.578976e-02	1.989375e-01	0	0	2.278743e+01	7.026947e+01	DBH
KEGG_2021_Human	African trypanosomiasis	1/37	4.703247e-02	1.989375e-01	0	0	2.215333e+01	6.772090e+01	IL12A
KEGG_2021_Human	Allograft rejection	1/38	4.827362e-02	1.989375e-01	0	0	2.155351e+01	6.532590e+01	IL12A
KEGG_2021_Human	Porphyrin and chlorophyll metabolism	1/43	5.445610e-02	1.989375e-01	0	0	1.898286e+01	5.524696e+01	UGT2B17
KEGG_2021_Human	Type I diabetes mellitus	1/43	5.445610e-02	1.989375e-01	0	0	1.898286e+01	5.524696e+01	IL12A
KEGG_2021_Human	Malaria	1/50	6.304672e-02	1.989375e-01	0	0	1.626531e+01	4.495534e+01	IL12A
KEGG_2021_Human	Legionellosis	1/57	7.156228e-02	1.989375e-01	0	0	1.422714e+01	3.751964e+01	IL12A
KEGG_2021_Human	Steroid hormone biosynthesis	1/61	7.639485e-02	1.989375e-01	0	0	1.327600e+01	3.414375e+01	UGT2B17
KEGG_2021_Human	Inflammatory bowel disease	1/65	8.120323e-02	1.989375e-01	0	0	1.244375e+01	3.124377e+01	IL12A
KEGG_2021_Human	Retinol metabolism	1/68	8.479370e-02	1.989375e-01	0	0	1.188478e+01	2.932609e+01	UGT2B17
KEGG_2021_Human	RIG-I-like receptor signaling pathway	1/70	8.717986e-02	1.989375e-01	0	0	1.153913e+01	2.815296e+01	IL12A
KEGG_2021_Human	PPAR signaling pathway	1/74	9.193423e-02	1.989375e-01	0	0	1.090466e+01	2.602595e+01	FABP6
KEGG_2021_Human	Pertussis	1/76	9.430248e-02	1.989375e-01	0	0	1.061280e+01	2.505945e+01	IL12A
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	1/76	9.430248e-02	1.989375e-01	0	0	1.061280e+01	2.505945e+01	UGT2B17
KEGG_2021_Human	Leishmaniasis	1/77	9.548437e-02	1.989375e-01	0	0	1.047263e+01	2.459804e+01	IL12A
KEGG_2021_Human	Bile secretion	1/90	1.107147e-01	1.989375e-01	0	0	8.937079e+00	1.966871e+01	UGT2B17
KEGG_2021_Human	Th1 and Th2 cell differentiation	1/92	1.130358e-01	1.989375e-01	0	0	8.739780e+00	1.905316e+01	IL12A
KEGG_2021_Human	Amoebiasis	1/102	1.245544e-01	1.989375e-01	0	0	7.870495e+00	1.639434e+01	IL12A
KEGG_2021_Human	Chagas disease	1/102	1.245544e-01	1.989375e-01	0	0	7.870495e+00	1.639434e+01	IL12A
KEGG_2021_Human	Toll-like receptor signaling pathway	1/104	1.268408e-01	1.989375e-01	0	0	7.716893e+00	1.593402e+01	IL12A
KEGG_2021_Human	C-type lectin receptor signaling pathway	1/104	1.268408e-01	1.989375e-01	0	0	7.716893e+00	1.593402e+01	IL12A
KEGG_2021_Human	Drug metabolism	1/108	1.313963e-01	1.989375e-01	0	0	7.426916e+00	1.507320e+01	UGT2B17
KEGG_2021_Human	Toxoplasmosis	1/112	1.359290e-01	1.989375e-01	0	0	7.157838e+00	1.428434e+01	IL12A
KEGG_2021_Human	Herpes simplex virus 1 infection	2/498	1.361152e-01	1.989375e-01	0	0	3.272513e+00	6.526223e+00	IL12A;ZNF354C
KEGG_2021_Human	Fluid shear stress and atherosclerosis	1/139	1.659352e-01	2.251978e-01	0	0	5.749565e+00	1.032713e+01	SUMO3
KEGG_2021_Human	Measles	1/139	1.659352e-01	2.251978e-01	0	0	5.749565e+00	1.032713e+01	IL12A
KEGG_2021_Human	JAK-STAT signaling pathway	1/162	1.907034e-01	2.484900e-01	0	0	4.922484e+00	8.156732e+00	IL12A
KEGG_2021_Human	Influenza A	1/172	2.012502e-01	2.484900e-01	0	0	4.632281e+00	7.426501e+00	IL12A
KEGG_2021_Human	Tuberculosis	1/180	2.095924e-01	2.484900e-01	0	0	4.423464e+00	6.912063e+00	IL12A
KEGG_2021_Human	NOD-like receptor signaling pathway	1/181	2.106293e-01	2.484900e-01	0	0	4.398667e+00	6.851608e+00	CARD18
KEGG_2021_Human	RNA transport	1/186	2.157940e-01	2.484900e-01	0	0	4.278703e+00	6.561096e+00	SUMO3
KEGG_2021_Human	Lipid and atherosclerosis	1/215	2.451146e-01	2.739516e-01	0	0	3.693458e+00	5.193111e+00	IL12A
KEGG_2021_Human	Coronavirus disease	1/232	2.618093e-01	2.835011e-01	0	0	3.418701e+00	4.581534e+00	IL12A
KEGG_2021_Human	Chemical carcinogenesis	1/239	2.685800e-01	2.835011e-01	0	0	3.316975e+00	4.360517e+00	UGT2B17
KEGG_2021_Human	Cytokine-cytokine receptor interaction	1/295	3.206366e-01	3.293025e-01	0	0	2.677551e+00	3.045572e+00	IL12A
KEGG_2021_Human	Pathways in cancer	1/531	5.034502e-01	5.034502e-01	0	0	1.467472e+00	1.007083e+00	IL12A
GO_Biological_Process_2023	Negative Regulation Of Binding (GO:0051100)	2/86	5.554362e-03	8.036461e-02	0	0	1.973214e+01	1.024724e+02	SUMO3;CARD18
GO_Biological_Process_2023	Zymogen Inhibition (GO:0097341)	1/5	6.483689e-03	8.036461e-02	0	0	1.997000e+02	1.006182e+03	CARD18
GO_Biological_Process_2023	Positive Regulation Of Protein Localization To Cilium (GO:1903566)	1/5	6.483689e-03	8.036461e-02	0	0	1.997000e+02	1.006182e+03	CROCC
GO_Biological_Process_2023	Regulation Of NK T Cell Activation (GO:0051133)	1/5	6.483689e-03	8.036461e-02	0	0	1.997000e+02	1.006182e+03	IL12A
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002860)	1/5	6.483689e-03	8.036461e-02	0	0	1.997000e+02	1.006182e+03	IL12A
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell (GO:0002857)	1/5	6.483689e-03	8.036461e-02	0	0	1.997000e+02	1.006182e+03	IL12A
GO_Biological_Process_2023	Hyaluronan Biosynthetic Process (GO:0030213)	1/6	7.775574e-03	8.036461e-02	0	0	1.597520e+02	7.758784e+02	HAS3
GO_Biological_Process_2023	Free Ubiquitin Chain Polymerization (GO:0010994)	1/6	7.775574e-03	8.036461e-02	0	0	1.597520e+02	7.758784e+02	RNF135
GO_Biological_Process_2023	Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903588)	1/6	7.775574e-03	8.036461e-02	0	0	1.597520e+02	7.758784e+02	IL12A
GO_Biological_Process_2023	RIG-I Signaling Pathway (GO:0039529)	1/6	7.775574e-03	8.036461e-02	0	0	1.597520e+02	7.758784e+02	RNF135
GO_Biological_Process_2023	Regulation Of Protein Localization To Cilium (GO:1903564)	1/7	9.065844e-03	8.036461e-02	0	0	1.331200e+02	6.260955e+02	CROCC
GO_Biological_Process_2023	Catecholamine Catabolic Process (GO:0042424)	1/7	9.065844e-03	8.036461e-02	0	0	1.331200e+02	6.260955e+02	DBH
GO_Biological_Process_2023	Regulation Of Dendritic Cell Chemotaxis (GO:2000508)	1/7	9.065844e-03	8.036461e-02	0	0	1.331200e+02	6.260955e+02	IL12A
GO_Biological_Process_2023	Inhibition Of Cysteine-Type Endopeptidase Activity (GO:0097340)	1/7	9.065844e-03	8.036461e-02	0	0	1.331200e+02	6.260955e+02	CARD18
GO_Biological_Process_2023	Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002858)	1/7	9.065844e-03	8.036461e-02	0	0	1.331200e+02	6.260955e+02	IL12A
GO_Biological_Process_2023	Dopamine Catabolic Process (GO:0042420)	1/7	9.065844e-03	8.036461e-02	0	0	1.331200e+02	6.260955e+02	DBH
GO_Biological_Process_2023	Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510)	1/7	9.065844e-03	8.036461e-02	0	0	1.331200e+02	6.260955e+02	IL12A
GO_Biological_Process_2023	Norepinephrine Metabolic Process (GO:0042415)	1/7	9.065844e-03	8.036461e-02	0	0	1.331200e+02	6.260955e+02	DBH
GO_Biological_Process_2023	Positive Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034393)	1/8	1.035450e-02	8.036461e-02	0	0	1.140971e+02	5.214620e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of NK T Cell Activation (GO:0051135)	1/8	1.035450e-02	8.036461e-02	0	0	1.140971e+02	5.214620e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900747)	1/9	1.164155e-02	8.036461e-02	0	0	9.983000e+01	4.445604e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Interleukin-17 Production (GO:0032700)	1/10	1.292699e-02	8.036461e-02	0	0	8.873333e+01	3.858514e+02	IL12A
GO_Biological_Process_2023	Phenol-Containing Compound Biosynthetic Process (GO:0046189)	1/10	1.292699e-02	8.036461e-02	0	0	8.873333e+01	3.858514e+02	DBH
GO_Biological_Process_2023	Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034391)	1/10	1.292699e-02	8.036461e-02	0	0	8.873333e+01	3.858514e+02	IL12A
GO_Biological_Process_2023	Cellular Response To Interleukin-12 (GO:0071349)	1/10	1.292699e-02	8.036461e-02	0	0	8.873333e+01	3.858514e+02	IL12A
GO_Biological_Process_2023	Catecholamine Biosynthetic Process (GO:0042423)	1/11	1.421082e-02	8.036461e-02	0	0	7.985600e+01	3.396876e+02	DBH
GO_Biological_Process_2023	Neurotransmitter Biosynthetic Process (GO:0042136)	1/11	1.421082e-02	8.036461e-02	0	0	7.985600e+01	3.396876e+02	DBH
GO_Biological_Process_2023	Biogenic Amine Biosynthetic Process (GO:0042401)	1/11	1.421082e-02	8.036461e-02	0	0	7.985600e+01	3.396876e+02	DBH
GO_Biological_Process_2023	Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:1902548)	1/11	1.421082e-02	8.036461e-02	0	0	7.985600e+01	3.396876e+02	IL12A
GO_Biological_Process_2023	Polysaccharide Biosynthetic Process (GO:0000271)	1/12	1.549304e-02	8.469529e-02	0	0	7.259273e+01	3.025203e+02	HAS3
GO_Biological_Process_2023	Hyaluronan Metabolic Process (GO:0030212)	1/14	1.805268e-02	9.315133e-02	0	0	6.141846e+01	2.465620e+02	HAS3
GO_Biological_Process_2023	Cellular Glucuronidation (GO:0052695)	1/15	1.933010e-02	9.315133e-02	0	0	5.702857e+01	2.250400e+02	UGT2B17
GO_Biological_Process_2023	Glucuronate Metabolic Process (GO:0019585)	1/15	1.933010e-02	9.315133e-02	0	0	5.702857e+01	2.250400e+02	UGT2B17
GO_Biological_Process_2023	Response To UV-B (GO:0010224)	1/16	2.060592e-02	9.315133e-02	0	0	5.322400e+01	2.066250e+02	IL12A
GO_Biological_Process_2023	Regulation Of Natural Killer Cell Activation (GO:0032814)	1/16	2.060592e-02	9.315133e-02	0	0	5.322400e+01	2.066250e+02	IL12A
GO_Biological_Process_2023	Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903587)	1/16	2.060592e-02	9.315133e-02	0	0	5.322400e+01	2.066250e+02	IL12A
GO_Biological_Process_2023	Extracellular Matrix Assembly (GO:0085029)	1/17	2.188015e-02	9.315133e-02	0	0	4.989500e+01	1.907074e+02	HAS3
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Proliferation (GO:0070665)	1/17	2.188015e-02	9.315133e-02	0	0	4.989500e+01	1.907074e+02	IL12A
GO_Biological_Process_2023	Regulation Of Lymphocyte Proliferation (GO:0050670)	1/18	2.315278e-02	9.315133e-02	0	0	4.695765e+01	1.768256e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Activation (GO:0032816)	1/18	2.315278e-02	9.315133e-02	0	0	4.695765e+01	1.768256e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635)	1/19	2.442382e-02	9.315133e-02	0	0	4.434667e+01	1.646235e+02	IL12A
GO_Biological_Process_2023	Dopamine Metabolic Process (GO:0042417)	1/19	2.442382e-02	9.315133e-02	0	0	4.434667e+01	1.646235e+02	DBH
GO_Biological_Process_2023	Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)	1/19	2.442382e-02	9.315133e-02	0	0	4.434667e+01	1.646235e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045954)	1/21	2.696114e-02	9.849565e-02	0	0	3.990800e+01	1.442019e+02	IL12A
GO_Biological_Process_2023	Anterograde Trans-Synaptic Signaling (GO:0098916)	2/199	2.737253e-02	9.849565e-02	0	0	8.365905e+00	3.010233e+01	APBA1;DBH
GO_Biological_Process_2023	Protein Peptidyl-Prolyl Isomerization (GO:0000413)	1/22	2.822741e-02	9.849565e-02	0	0	3.800571e+01	1.355839e+02	PPIL3
GO_Biological_Process_2023	Positive Regulation Of Cilium Assembly (GO:0045724)	1/22	2.822741e-02	9.849565e-02	0	0	3.800571e+01	1.355839e+02	CROCC
GO_Biological_Process_2023	Cytosolic Pattern Recognition Receptor Signaling Pathway (GO:0002753)	1/23	2.949210e-02	1.007647e-01	0	0	3.627636e+01	1.278246e+02	RNF135
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Mediated Immunity (GO:0002717)	1/24	3.075521e-02	1.029358e-01	0	0	3.469739e+01	1.208058e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Protein Transport (GO:0051224)	1/25	3.201674e-02	1.050149e-01	0	0	3.325000e+01	1.144298e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Interleukin-1 Beta Production (GO:0032691)	1/26	3.327669e-02	1.070074e-01	0	0	3.191840e+01	1.086151e+02	CARD18
GO_Biological_Process_2023	Peptidyl-Proline Modification (GO:0018208)	1/27	3.453506e-02	1.089183e-01	0	0	3.068923e+01	1.032932e+02	PPIL3
GO_Biological_Process_2023	Negative Regulation Of DNA Binding (GO:0043392)	1/29	3.704708e-02	1.146363e-01	0	0	2.849429e+01	9.390479e+01	SUMO3
GO_Biological_Process_2023	Negative Regulation Of Interleukin-1 Production (GO:0032692)	1/30	3.830074e-02	1.158333e-01	0	0	2.751034e+01	8.974662e+01	CARD18
GO_Biological_Process_2023	Regulation Of Response To Biotic Stimulus (GO:0002831)	1/31	3.955282e-02	1.158333e-01	0	0	2.659200e+01	8.589531e+01	RNF135
GO_Biological_Process_2023	Positive Regulation Of Mononuclear Cell Migration (GO:0071677)	1/31	3.955282e-02	1.158333e-01	0	0	2.659200e+01	8.589531e+01	IL12A
GO_Biological_Process_2023	Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269)	1/32	4.080334e-02	1.173991e-01	0	0	2.573290e+01	8.231934e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916)	1/33	4.205229e-02	1.189065e-01	0	0	2.492750e+01	7.899130e+01	IL12A
GO_Biological_Process_2023	Regulation Of Interleukin-17 Production (GO:0032660)	1/34	4.329967e-02	1.203584e-01	0	0	2.417091e+01	7.588723e+01	IL12A
GO_Biological_Process_2023	Cellular Component Assembly (GO:0022607)	2/260	4.458458e-02	1.205207e-01	0	0	6.368217e+00	1.980749e+01	HAS3;APBA1
GO_Biological_Process_2023	Positive Regulation Of Interferon-Beta Production (GO:0032728)	1/36	4.578976e-02	1.205207e-01	0	0	2.278743e+01	7.026947e+01	RNF135
GO_Biological_Process_2023	Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)	1/36	4.578976e-02	1.205207e-01	0	0	2.278743e+01	7.026947e+01	IL12A
GO_Biological_Process_2023	Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)	1/37	4.703247e-02	1.205207e-01	0	0	2.215333e+01	6.772090e+01	IL12A
GO_Biological_Process_2023	Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)	1/37	4.703247e-02	1.205207e-01	0	0	2.215333e+01	6.772090e+01	IL12A
GO_Biological_Process_2023	Fatty Acid Transport (GO:0015908)	1/38	4.827362e-02	1.209216e-01	0	0	2.155351e+01	6.532590e+01	FABP6
GO_Biological_Process_2023	Chemical Synaptic Transmission (GO:0007268)	2/273	4.866356e-02	1.209216e-01	0	0	6.058733e+00	1.831449e+01	APBA1;DBH
GO_Biological_Process_2023	Negative Regulation Of Protein Secretion (GO:0050709)	1/39	4.951322e-02	1.211965e-01	0	0	2.098526e+01	6.307154e+01	IL12A
GO_Biological_Process_2023	Negative Regulation Of Secretion By Cell (GO:1903531)	1/40	5.075126e-02	1.224001e-01	0	0	2.044615e+01	6.094628e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	2/283	5.189147e-02	1.233362e-01	0	0	5.840154e+00	1.727869e+01	ADIRF;ASB4
GO_Biological_Process_2023	Positive Regulation Of T Cell Mediated Immunity (GO:0002711)	1/43	5.445610e-02	1.275829e-01	0	0	1.898286e+01	5.524696e+01	IL12A
GO_Biological_Process_2023	Antiviral Innate Immune Response (GO:0140374)	1/46	5.814703e-02	1.324460e-01	0	0	1.771467e+01	5.039434e+01	RNF135
GO_Biological_Process_2023	Protein Sumoylation (GO:0016925)	1/46	5.814703e-02	1.324460e-01	0	0	1.771467e+01	5.039434e+01	SUMO3
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Activation (GO:0051251)	1/47	5.937426e-02	1.333887e-01	0	0	1.732870e+01	4.893441e+01	IL12A
GO_Biological_Process_2023	Regulation Of DNA Binding (GO:0051101)	1/48	6.059995e-02	1.343026e-01	0	0	1.695915e+01	4.754432e+01	SUMO3
GO_Biological_Process_2023	Regulation Of Interferon-Beta Production (GO:0032648)	1/50	6.304672e-02	1.358438e-01	0	0	1.626531e+01	4.495534e+01	RNF135
GO_Biological_Process_2023	Positive Regulation Of Fat Cell Differentiation (GO:0045600)	1/50	6.304672e-02	1.358438e-01	0	0	1.626531e+01	4.495534e+01	ADIRF
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912)	1/51	6.426781e-02	1.358438e-01	0	0	1.593920e+01	4.374826e+01	IL12A
GO_Biological_Process_2023	Regulation Of Protein Localization To Nucleus (GO:1900180)	1/52	6.548737e-02	1.358438e-01	0	0	1.562588e+01	4.259456e+01	SUMO3
GO_Biological_Process_2023	Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117)	1/53	6.670540e-02	1.358438e-01	0	0	1.532462e+01	4.149093e+01	CARD18
GO_Biological_Process_2023	Protein K63-linked Ubiquitination (GO:0070534)	1/54	6.792191e-02	1.358438e-01	0	0	1.503472e+01	4.043432e+01	RNF135
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)	1/54	6.792191e-02	1.358438e-01	0	0	1.503472e+01	4.043432e+01	IL12A
GO_Biological_Process_2023	Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)	1/54	6.792191e-02	1.358438e-01	0	0	1.503472e+01	4.043432e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)	1/55	6.913689e-02	1.366078e-01	0	0	1.475556e+01	3.942193e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Type II Interferon Production (GO:0032729)	1/58	7.277270e-02	1.404085e-01	0	0	1.397684e+01	3.662512e+01	IL12A
GO_Biological_Process_2023	Glycosaminoglycan Biosynthetic Process (GO:0006024)	1/58	7.277270e-02	1.404085e-01	0	0	1.397684e+01	3.662512e+01	HAS3
