Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,source
KEGG_2021_Human,Fat digestion and absorption,2/43,0.0195637897091908,0.6539573073177388,0,0,9.885017421602788,38.888398778373954,NPC1L1;PNLIP,cox_top100
KEGG_2021_Human,Basal transcription factors,2/45,0.0213109604144821,0.6539573073177388,0,0,9.424299952539156,36.26973658038426,GTF2A1L;GTF2H2C,cox_top100
KEGG_2021_Human,Glycerolipid metabolism,2/61,0.0374213004237331,0.6539573073177388,0,0,6.863023175371843,22.54856700617945,GPAT4;PNLIP,cox_top100
KEGG_2021_Human,Taurine and hypotaurine metabolism,1/11,0.0536582567508638,0.6539573073177388,0,0,20.09090909090909,58.76831842188268,ADO,cox_top100
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,2/76,0.0555565913641185,0.6539573073177388,0,0,5.467733039161611,15.803679213614178,ALDH3B1;UGT2B17,cox_top100
KEGG_2021_Human,Synaptic vesicle cycle,2/78,0.058168160710821,0.6539573073177388,0,0,5.323308270676692,15.141709290687697,SLC1A6;CPLX3,cox_top100
KEGG_2021_Human,Viral carcinogenesis,3/203,0.0816743571184012,0.6539573073177388,0,0,3.0463917525773194,7.63125762325125,GTF2A1L;H2BC7;GTF2H2C,cox_top100
KEGG_2021_Human,Phenylalanine metabolism,1/17,0.0817146326715556,0.6539573073177388,0,0,12.553030303030305,31.43934295429433,ALDH3B1,cox_top100
KEGG_2021_Human,Glycosaminoglycan degradation,1/19,0.0908825145361798,0.6539573073177388,0,0,11.15712682379349,26.75688382123247,HYAL1,cox_top100
KEGG_2021_Human,Pancreatic secretion,2/102,0.0924846891098034,0.6539573073177388,0,0,4.040816326530612,9.62002061056518,CTRB2;PNLIP,cox_top100
KEGG_2021_Human,C-type lectin receptor signaling pathway,2/104,0.0955625544444408,0.6539573073177388,0,0,3.961184473789516,9.300759047174036,PLK3;IL12A,cox_top100
