Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Fat digestion and absorption	2/43	1.956379e-02	6.539573e-01	0	0	9.885017e+00	3.888840e+01	NPC1L1;PNLIP
KEGG_2021_Human	Basal transcription factors	2/45	2.131096e-02	6.539573e-01	0	0	9.424300e+00	3.626974e+01	GTF2A1L;GTF2H2C
KEGG_2021_Human	Glycerolipid metabolism	2/61	3.742130e-02	6.539573e-01	0	0	6.863023e+00	2.254857e+01	GPAT4;PNLIP
KEGG_2021_Human	Taurine and hypotaurine metabolism	1/11	5.365826e-02	6.539573e-01	0	0	2.009091e+01	5.876832e+01	ADO
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	2/76	5.555659e-02	6.539573e-01	0	0	5.467733e+00	1.580368e+01	ALDH3B1;UGT2B17
KEGG_2021_Human	Synaptic vesicle cycle	2/78	5.816816e-02	6.539573e-01	0	0	5.323308e+00	1.514171e+01	SLC1A6;CPLX3
KEGG_2021_Human	Viral carcinogenesis	3/203	8.167436e-02	6.539573e-01	0	0	3.046392e+00	7.631258e+00	GTF2A1L;H2BC7;GTF2H2C
KEGG_2021_Human	Phenylalanine metabolism	1/17	8.171463e-02	6.539573e-01	0	0	1.255303e+01	3.143934e+01	ALDH3B1
KEGG_2021_Human	Glycosaminoglycan degradation	1/19	9.088251e-02	6.539573e-01	0	0	1.115713e+01	2.675688e+01	HYAL1
KEGG_2021_Human	Pancreatic secretion	2/102	9.248469e-02	6.539573e-01	0	0	4.040816e+00	9.620021e+00	CTRB2;PNLIP
KEGG_2021_Human	C-type lectin receptor signaling pathway	2/104	9.556255e-02	6.539573e-01	0	0	3.961184e+00	9.300759e+00	PLK3;IL12A
KEGG_2021_Human	Drug metabolism	2/108	1.018051e-01	6.539573e-01	0	0	3.810936e+00	8.706827e+00	ALDH3B1;UGT2B17
KEGG_2021_Human	Histidine metabolism	1/22	1.044647e-01	6.539573e-01	0	0	9.561809e+00	2.159923e+01	ALDH3B1
KEGG_2021_Human	Vitamin digestion and absorption	1/24	1.134077e-01	6.539573e-01	0	0	8.729469e+00	1.900201e+01	PNLIP
KEGG_2021_Human	Ascorbate and aldarate metabolism	1/30	1.397096e-01	6.539573e-01	0	0	6.921282e+00	1.362239e+01	UGT2B17
KEGG_2021_Human	beta-Alanine metabolism	1/30	1.397096e-01	6.539573e-01	0	0	6.921282e+00	1.362239e+01	ALDH3B1
KEGG_2021_Human	Pentose and glucuronate interconversions	1/34	1.568135e-01	6.539573e-01	0	0	6.081114e+00	1.126647e+01	UGT2B17
KEGG_2021_Human	Tyrosine metabolism	1/36	1.652387e-01	6.539573e-01	0	0	5.733045e+00	1.032157e+01	ALDH3B1
KEGG_2021_Human	African trypanosomiasis	1/37	1.694201e-01	6.539573e-01	0	0	5.573513e+00	9.895070e+00	IL12A
KEGG_2021_Human	Allograft rejection	1/38	1.735807e-01	6.539573e-01	0	0	5.422604e+00	9.495593e+00	IL12A
KEGG_2021_Human	Homologous recombination	1/41	1.859390e-01	6.539573e-01	0	0	5.015152e+00	8.437172e+00	RBBP8
KEGG_2021_Human	Graft-versus-host disease	1/42	1.900177e-01	6.539573e-01	0	0	4.892584e+00	8.124812e+00	KLRC1
KEGG_2021_Human	Type I diabetes mellitus	1/43	1.940761e-01	6.539573e-01	0	0	4.775854e+00	7.830035e+00	IL12A
KEGG_2021_Human	Porphyrin and chlorophyll metabolism	1/43	1.940761e-01	6.539573e-01	0	0	4.775854e+00	7.830035e+00	UGT2B17
KEGG_2021_Human	ABC transporters	1/45	2.021327e-01	6.539573e-01	0	0	4.558310e+00	7.287968e+00	ABCA12
KEGG_2021_Human	Nucleotide excision repair	1/47	2.101095e-01	6.539573e-01	0	0	4.359684e+00	6.801658e+00	GTF2H2C
KEGG_2021_Human	Malaria	1/50	2.219269e-01	6.539573e-01	0	0	4.092146e+00	6.160346e+00	IL12A
KEGG_2021_Human	Tuberculosis	2/180	2.272471e-01	6.539573e-01	0	0	2.261179e+00	3.350427e+00	PLK3;IL12A
KEGG_2021_Human	NOD-like receptor signaling pathway	2/181	2.290890e-01	6.539573e-01	0	0	2.248432e+00	3.313390e+00	DEFB103B;CARD18
KEGG_2021_Human	Axon guidance	2/182	2.309320e-01	6.539573e-01	0	0	2.235828e+00	3.276901e+00	SRGAP2;NEO1
KEGG_2021_Human	Glycosaminoglycan biosynthesis	1/53	2.335693e-01	6.539573e-01	0	0	3.855478e+00	5.606931e+00	CHST15
KEGG_2021_Human	Legionellosis	1/57	2.488245e-01	6.539573e-01	0	0	3.579365e+00	4.978923e+00	IL12A
KEGG_2021_Human	Viral myocarditis	1/60	2.600684e-01	6.539573e-01	0	0	3.396850e+00	4.574914e+00	SGCA
KEGG_2021_Human	Steroid hormone biosynthesis	1/61	2.637791e-01	6.539573e-01	0	0	3.340067e+00	4.451118e+00	UGT2B17
KEGG_2021_Human	Lysine degradation	1/63	2.711455e-01	6.539573e-01	0	0	3.231997e+00	4.218078e+00	KMT5C
KEGG_2021_Human	Inflammatory bowel disease	1/65	2.784389e-01	6.539573e-01	0	0	3.130682e+00	4.002754e+00	IL12A
KEGG_2021_Human	Glycolysis / Gluconeogenesis	1/67	2.856601e-01	6.539573e-01	0	0	3.035507e+00	3.803346e+00	ALDH3B1
KEGG_2021_Human	Retinol metabolism	1/68	2.892438e-01	6.539573e-01	0	0	2.990050e+00	3.709113e+00	UGT2B17
KEGG_2021_Human	Renin secretion	1/69	2.928097e-01	6.539573e-01	0	0	2.945930e+00	3.618287e+00	ADCYAP1R1
KEGG_2021_Human	RIG-I-like receptor signaling pathway	1/70	2.963579e-01	6.539573e-01	0	0	2.903089e+00	3.530700e+00	IL12A
KEGG_2021_Human	Melanoma	1/72	3.034015e-01	6.539573e-01	0	0	2.821027e+00	3.364635e+00	FGF2
KEGG_2021_Human	Pertussis	1/76	3.172799e-01	6.539573e-01	0	0	2.670034e+00	3.065121e+00	IL12A
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	1/77	3.207065e-01	6.539573e-01	0	0	2.634769e+00	2.996335e+00	SGCA
KEGG_2021_Human	Leishmaniasis	1/77	3.207065e-01	6.539573e-01	0	0	2.634769e+00	2.996335e+00	IL12A
KEGG_2021_Human	Antigen processing and presentation	1/78	3.241161e-01	6.539573e-01	0	0	2.600420e+00	2.929772e+00	KLRC1
KEGG_2021_Human	Chemical carcinogenesis	2/239	3.361522e-01	6.539573e-01	0	0	1.693189e+00	1.845899e+00	UGT2B17;FGF2
KEGG_2021_Human	Complement and coagulation cascades	1/85	3.475134e-01	6.539573e-01	0	0	2.382876e+00	2.518586e+00	F10
KEGG_2021_Human	Insulin secretion	1/86	3.507898e-01	6.539573e-01	0	0	2.354724e+00	2.466734e+00	ADCYAP1R1
KEGG_2021_Human	Bile secretion	1/90	3.637331e-01	6.539573e-01	0	0	2.248439e+00	2.273925e+00	UGT2B17
KEGG_2021_Human	Hypertrophic cardiomyopathy	1/90	3.637331e-01	6.539573e-01	0	0	2.248439e+00	2.273925e+00	SGCA
KEGG_2021_Human	Th1 and Th2 cell differentiation	1/92	3.701086e-01	6.539573e-01	0	0	2.198801e+00	2.185518e+00	IL12A
KEGG_2021_Human	TGF-beta signaling pathway	1/94	3.764209e-01	6.539573e-01	0	0	2.151298e+00	2.101920e+00	NEO1
KEGG_2021_Human	Staphylococcus aureus infection	1/95	3.795535e-01	6.539573e-01	0	0	2.128304e+00	2.061815e+00	DEFB103B
KEGG_2021_Human	Dilated cardiomyopathy	1/96	3.826706e-01	6.539573e-01	0	0	2.105795e+00	2.022786e+00	SGCA
KEGG_2021_Human	Circadian entrainment	1/97	3.857721e-01	6.539573e-01	0	0	2.083754e+00	1.984794e+00	ADCYAP1R1
KEGG_2021_Human	Glycerophospholipid metabolism	1/98	3.888582e-01	6.539573e-01	0	0	2.062168e+00	1.947801e+00	GPAT4
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	1/100	3.949844e-01	6.539573e-01	0	0	2.020304e+00	1.876679e+00	CCL24
KEGG_2021_Human	Amoebiasis	1/102	4.010498e-01	6.539573e-01	0	0	1.980098e+00	1.809155e+00	IL12A
KEGG_2021_Human	Chagas disease	1/102	4.010498e-01	6.539573e-01	0	0	1.980098e+00	1.809155e+00	IL12A
