Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Ascorbate and aldarate metabolism	1/30	2.813081e-02	1.457955e-01	0	0	3.822222e+01	1.364873e+02	UGT2B17
KEGG_2021_Human	Pentose and glucuronate interconversions	1/34	3.182445e-02	1.457955e-01	0	0	3.358249e+01	1.157763e+02	UGT2B17
KEGG_2021_Human	Tyrosine metabolism	1/36	3.366628e-02	1.457955e-01	0	0	3.166032e+01	1.073683e+02	DBH
KEGG_2021_Human	African trypanosomiasis	1/37	3.458595e-02	1.457955e-01	0	0	3.077932e+01	1.035511e+02	IL12A
KEGG_2021_Human	Allograft rejection	1/38	3.550479e-02	1.457955e-01	0	0	2.994595e+01	9.996219e+01	IL12A
KEGG_2021_Human	Porphyrin and chlorophyll metabolism	1/43	4.008658e-02	1.457955e-01	0	0	2.637434e+01	8.483870e+01	UGT2B17
KEGG_2021_Human	Type I diabetes mellitus	1/43	4.008658e-02	1.457955e-01	0	0	2.637434e+01	8.483870e+01	IL12A
KEGG_2021_Human	Malaria	1/50	4.646646e-02	1.457955e-01	0	0	2.259864e+01	6.935578e+01	IL12A
KEGG_2021_Human	Legionellosis	1/57	5.280615e-02	1.457955e-01	0	0	1.976687e+01	5.813687e+01	IL12A
KEGG_2021_Human	Steroid hormone biosynthesis	1/61	5.641088e-02	1.457955e-01	0	0	1.844537e+01	5.303216e+01	UGT2B17
KEGG_2021_Human	Inflammatory bowel disease	1/65	6.000261e-02	1.457955e-01	0	0	1.728906e+01	4.864048e+01	IL12A
KEGG_2021_Human	Retinol metabolism	1/68	6.268791e-02	1.457955e-01	0	0	1.651244e+01	4.573263e+01	UGT2B17
KEGG_2021_Human	RIG-I-like receptor signaling pathway	1/70	6.447406e-02	1.457955e-01	0	0	1.603221e+01	4.395217e+01	IL12A
KEGG_2021_Human	PPAR signaling pathway	1/74	6.803671e-02	1.457955e-01	0	0	1.515068e+01	4.072061e+01	FABP6
KEGG_2021_Human	Pertussis	1/76	6.981321e-02	1.457955e-01	0	0	1.474519e+01	3.925068e+01	IL12A
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	1/76	6.981321e-02	1.457955e-01	0	0	1.474519e+01	3.925068e+01	UGT2B17
KEGG_2021_Human	Leishmaniasis	1/77	7.070026e-02	1.457955e-01	0	0	1.455044e+01	3.854857e+01	IL12A
KEGG_2021_Human	Bile secretion	1/90	8.215918e-02	1.457955e-01	0	0	1.241698e+01	3.103123e+01	UGT2B17
KEGG_2021_Human	Th1 and Th2 cell differentiation	1/92	8.391017e-02	1.457955e-01	0	0	1.214286e+01	3.009010e+01	IL12A
KEGG_2021_Human	Amoebiasis	1/102	9.261773e-02	1.457955e-01	0	0	1.093509e+01	2.601759e+01	IL12A
KEGG_2021_Human	Chagas disease	1/102	9.261773e-02	1.457955e-01	0	0	1.093509e+01	2.601759e+01	IL12A
KEGG_2021_Human	Toll-like receptor signaling pathway	1/104	9.434981e-02	1.457955e-01	0	0	1.072168e+01	2.531117e+01	IL12A
KEGG_2021_Human	C-type lectin receptor signaling pathway	1/104	9.434981e-02	1.457955e-01	0	0	1.072168e+01	2.531117e+01	IL12A
KEGG_2021_Human	Drug metabolism	1/108	9.780457e-02	1.457955e-01	0	0	1.031880e+01	2.398897e+01	UGT2B17
KEGG_2021_Human	Toxoplasmosis	1/112	1.012468e-01	1.457955e-01	0	0	9.944945e+00	2.277585e+01	IL12A
KEGG_2021_Human	Measles	1/139	1.241588e-01	1.719122e-01	0	0	7.988325e+00	1.666520e+01	IL12A
