gene,shared_top100,residual_only_top100,gated_only_top100,shared_top500
ABCA12,False,True,False,True
ABCF2,False,False,True,False
ABCG5,False,False,True,False
ABHD12,False,False,True,False
ACSM1,False,False,True,False
ACSM5,False,True,False,False
ADGRF3,False,True,False,False
ADIRF,False,False,True,False
AGFG1,False,True,False,False
AGTR1,False,True,False,False
AKIRIN1,False,False,True,False
ALDH3B1,False,False,False,True
ANKRD28,False,False,False,True
ANP32E,False,True,False,True
AP5Z1,False,True,False,False
APBA1,False,True,False,True
APOA2,False,False,False,True
ARCN1,False,True,False,False
ARHGAP5,False,False,True,False
ASB4,False,False,True,False
ATE1,False,False,False,True
BHLHE22,False,False,True,False
BOLA2,False,True,False,False
C17orf97,False,True,False,True
C19orf44,False,True,False,False
C20orf181,False,False,True,False
C20orf194,False,False,False,True
CACNA1B,False,False,False,True
CAPN11,False,False,False,True
CARD18,False,False,True,True
CASC1,False,False,False,True
CASP12,False,False,False,True
CCDC144B,False,True,False,False
CCDC89,False,True,False,False
CCNC,False,True,False,False
CCNQ,False,True,False,False
CD163,False,True,False,False
CD200R1L,False,True,False,False
CD3G,True,False,False,True
CLCF1,False,False,False,True
CLDN19,False,False,False,True
CLIC6,False,False,False,True
CLNS1A,False,False,True,False
CNGA2,False,True,False,False
CNPY2,False,True,False,False
COL21A1,False,False,False,True
CROCC,False,False,True,False
CST8,False,False,False,True
CXorf1,True,False,False,True
CYB561D2,False,True,False,True
DBH,False,True,False,False
DCAF12L2,False,False,False,True
DCAF4L1,False,True,False,False
DEFB103B,False,False,False,True
DENND5B,False,False,False,True
DEPDC7,False,True,False,False
DNAH7,False,False,False,True
DONSON,False,False,True,False
DSG3,False,True,False,False
DUSP19,False,False,False,True
EFCAB13,False,False,True,False
EFCAB4B,False,False,False,True
EIF2B2,False,False,True,False
ENG,False,False,True,False
ENPP3,False,False,True,False
EPB41L4A-DT,False,False,True,False
EPM2A,True,False,False,True
ERC1,False,False,True,False
EVI5,False,False,True,False
FABP6,False,False,True,False
FAM104A,False,False,True,False
FAM151B,False,False,True,True
FAM171A2,False,False,True,False
FAM53C,False,False,True,False
FAM86C2P,True,False,False,True
FAM9C,False,True,False,True
FERD3L,False,False,True,False
FGF2,False,True,False,False
FLJ40292,False,True,False,False
FSHB,False,False,False,True
FUCA2,False,False,True,True
FXYD5,False,False,True,False
FXYD6,False,False,True,False
GAL3ST2,False,False,False,True
GCNT2P1,False,False,False,True
GLI2,False,True,False,True
GLIDR,False,True,False,False
GNA12,False,True,False,False
GNRHR,False,True,False,False
GOLGA6L5P,False,True,False,False
GPAM,False,False,True,False
GPAT4,False,False,False,True
GPR6,False,False,False,True
GPX2,False,False,False,True
GRASP,False,False,False,True
GRIP1,False,False,True,False
GRIP2,False,True,False,False
GSG1,False,True,False,False
GSK3A,False,False,False,True
H2AC13,False,False,True,False
H2BC7,False,True,False,True
