gene,residual_baseline_cindex,residual_perturbed_cindex_mean,residual_perturbed_cindex_std,residual_delta_cindex_mean,residual_delta_cindex_std,residual_method,residual_n_repeats,gated_baseline_cindex,gated_perturbed_cindex_mean,gated_perturbed_cindex_std,gated_delta_cindex_mean,gated_delta_cindex_std,gated_method,gated_n_repeats,max_delta_cindex,mean_delta_cindex
CARD18,0.6623070974683118,0.6604680092794943,0.0006600498220658682,0.001839088188817506,0.0006600498220658682,shuffle,10,0.6660054466597183,0.6658978583196047,0.0006615466422758948,0.00010758834011359575,0.0006615466422758948,shuffle,10,0.001839088188817506,0.0009733382644655508
LINC01667,0.6623070974683118,0.6607302558585213,0.000496743450074194,0.0015768416097905469,0.000496743450074194,shuffle,10,0.6660054466597183,0.6657600107588341,0.0002420037106267524,0.00024543590088421663,0.0002420037106267524,shuffle,10,0.0015768416097905469,0.0009111387553373818
IL12A,0.6623070974683118,0.6608647412836633,0.0005549968438010129,0.0014423561846484967,0.0005549968438010129,shuffle,10,0.6660054466597183,0.6658675990989477,0.00028546491674851074,0.00013784756077062088,0.00028546491674851074,shuffle,10,0.0014423561846484967,0.0007901018727095588
GPR6,0.6623070974683118,0.660972329623777,0.000543804001932371,0.00133476784453479,0.000543804001932371,shuffle,10,0.6660054466597183,0.6657499243519485,0.00039387243104213723,0.00025552230776981766,0.00039387243104213723,shuffle,10,0.00133476784453479,0.0007951450761523038
ADIRF,0.6623070974683118,0.661106815048919,0.00042101939836217345,0.0012002824193928507,0.00042101939836217345,shuffle,10,0.6660054466597183,0.6659651010321755,0.0002229174522307735,4.0345627542737184e-05,0.0002229174522307735,shuffle,10,0.0012002824193928507,0.000620314023467794
ASB4,0.6623070974683118,0.6611169014558047,0.00044987334656699217,0.0011901960125071387,0.00044987334656699217,shuffle,10,0.6660054466597183,0.6660760515079177,0.00024681373300920934,-7.060484819942925e-05,0.00024681373300920934,shuffle,10,0.0011901960125071387,0.0005597955821538547
PPIL3,0.6623070974683118,0.6611639713546045,0.0004799735648654988,0.0011431261137073712,0.0004799735648654988,shuffle,10,0.6660054466597183,0.6656120767911777,0.0002927375792763367,0.00039336986854054956,0.0002927375792763367,shuffle,10,0.0011431261137073712,0.0007682479911239604
C17orf97,0.6623070974683118,0.6611706956258615,0.0006610338285953286,0.0011364018424503408,0.0006610338285953286,shuffle,10,0.6660054466597183,0.6657364758094342,0.0004150569710388837,0.0002689708502841004,0.0004150569710388837,shuffle,10,0.0011364018424503408,0.0007026863463672206
GSG1,0.6623070974683118,0.6612177655246614,0.0007576675397103654,0.0010893319436504623,0.0007576675397103654,shuffle,10,0.6660054466597183,0.6658709612345761,0.00014184865756465724,0.00013448542514216122,0.00014184865756465724,shuffle,10,0.0010893319436504623,0.0006119086843963117
UGT2B17,0.6623070974683118,0.6612413004740612,0.0006458539152115972,0.0010657969942506895,0.0006458539152115972,shuffle,10,0.6660054466597183,0.6656591466899775,0.0005589746392951532,0.00034629996974078203,0.0005589746392951532,shuffle,10,0.0010657969942506895,0.0007060484819957358
