gene,mean_gate_score,std_gate_score
FGF2,0.7904984,0.091650374
TRIP6,0.7440036,0.09598146
SULT1E1,0.7298202,0.11451317
PSAP,0.72554266,0.13039707
LOC389834,0.7250135,0.119775206
CNGA2,0.72374153,0.1032776
REG1A,0.721626,0.117858745
CYB561D2,0.71922,0.112070136
PDCD2L,0.7188733,0.10433541
APBA1,0.7182166,0.11758822
CD163,0.71657854,0.111384615
IRAK1,0.7164152,0.103073984
MEFV,0.71611285,0.10955906
TMEM236,0.71449953,0.10596512
PCDHGA9,0.71008897,0.13032858
NUMB,0.70915526,0.12953995
AGFG1,0.7086577,0.1022159
ARCN1,0.7073719,0.119427145
SUGT1P1,0.70516336,0.12619409
ABCA12,0.7039809,0.13512163
ZSCAN1,0.70345306,0.105835095
FAM9C,0.70248425,0.11323364
C19orf44,0.7013262,0.11638968
ADGRF3,0.69987655,0.11137865
ZNF679,0.6989945,0.087317534
CXorf1,0.69873244,0.13109249
TTTY2,0.6971008,0.16973072
ANP32E,0.6943915,0.112651646
CCDC89,0.6932721,0.12908383
KCNA10,0.6920295,0.12773307
WNT7A,0.691299,0.13247918
C17orf97,0.6895418,0.1007057
SLC36A3,0.68868893,0.12750755
SRGAP1,0.6880642,0.11604887
GLI2,0.6874865,0.09952905
SIGLEC17P,0.68684936,0.122058176
CCNQ,0.6860866,0.11021074
PSMD8,0.68527734,0.123605065
ZBTB14,0.68508786,0.1242273
ACSM5,0.68435407,0.1372216
CD3G,0.6838347,0.113587834
SERPINE1,0.68378204,0.114277154
PYY,0.6825446,0.123238035
DEPDC7,0.6823912,0.1154356
GOLGA6L5P,0.6807133,0.10441838
SMIM17,0.6801891,0.09724218
SURF2,0.6800559,0.10871448
RIF1,0.6799192,0.14210932
PBX4,0.679904,0.13787436
SLAMF6,0.67947704,0.15923195
PROX1,0.67855096,0.11150805
DSG3,0.67844325,0.11604234
HP1BP3,0.6780857,0.102738924
RFT1,0.6780284,0.11120679
FAM86C2P,0.6773684,0.12446235
NISCH,0.6763888,0.10930873
SPATA22,0.6761727,0.114762105
SLC35B4,0.6753396,0.11496137
BOLA2,0.6751641,0.108622566
AP5Z1,0.675084,0.12552227
NPY6R,0.67494166,0.10255228
H2BC7,0.6747073,0.1048061
CCDC144B,0.67458236,0.12661768
GLIDR,0.67439467,0.122543976
VWC2L,0.67402744,0.11686506
JAG2,0.67285705,0.103650734
LPAL2,0.6727995,0.10744141
CD200R1L,0.6718164,0.107440256
FLJ40292,0.6697802,0.1286806
ZNF563,0.6695587,0.117086306
RBP1,0.6691834,0.11668377
OPHN1,0.6684289,0.09623375
DBH,0.66808504,0.10898314
GRIP2,0.6677896,0.11782691
AGTR1,0.66763973,0.13320465
REEP5,0.66730976,0.10393808
CCNC,0.6672661,0.1304199
NANOS3,0.6672128,0.103809014
STK33,0.6671614,0.12889972
WDCP,0.66635966,0.10435061
DCAF4L1,0.6663475,0.12665728
TCEAL1,0.6663271,0.13010348
GNRHR,0.6662319,0.11300883
TEKT3,0.6660941,0.14154056
PARN,0.6660102,0.12990703
GSG1,0.66487324,0.11604757
ITPRID2,0.6638764,0.14024748
LOC644617,0.66304743,0.14635445
CNPY2,0.6627224,0.119025856
PTPN22,0.6624152,0.12727821
MAP7D2,0.66202635,0.11082697
EPM2A,0.6616164,0.17452644
NKX3-2,0.6611299,0.14091541
SPINLW1,0.6606452,0.13235255
TMEM150A,0.66027457,0.108208455
LOC256483,0.6600606,0.10755791
UQCRQ,0.65985274,0.119070135
MSMP,0.65966266,0.16200984
GNA12,0.65910167,0.13237792
PROSER3,0.658491,0.13831948
UCN2,0.65787196,0.13561496
NXF1,0.65773636,0.120844625
ALDH3B1,0.6576331,0.1287232
ZNF503-AS2,0.65717846,0.11552882
MIR3142HG,0.6569222,0.12216188
SLCO1B7,0.6565034,0.10898417
PROZ,0.6563438,0.0992476
FANK1,0.6563317,0.12985356
TGIF2LX,0.655962,0.09714923
LINS1,0.6557119,0.15006359
TRIML2,0.65505135,0.106293954
LOC100288238,0.6549628,0.11253152
MIRLET7BHG,0.65453905,0.097693175
KIDINS220,0.65442073,0.11288898
LOC100132481,0.6543754,0.1806807
OR2L1P,0.65422857,0.13277055
LINC02817,0.6540407,0.1646037
SNRNP40,0.6531948,0.1113177
KLRC1,0.6519397,0.12350554
PTGS1,0.65184,0.13019985
NKX6-2,0.65146315,0.14373285
DDX19B,0.6510219,0.123228736
ARSI,0.65091354,0.124516256
RAB39B,0.65029955,0.09347706
GPR139,0.6497566,0.117750764
MARCHF10,0.64919174,0.12216767
DPY19L2P4,0.64859015,0.11584319
SCN1A,0.6480547,0.116516896
CMIP,0.64742535,0.1277335
BAZ2A,0.6470028,0.09160854
NPIPB13,0.64689666,0.13724248
PROSER2,0.6466697,0.13159092
GLRA3,0.6466219,0.15033977
MGC24103,0.6464718,0.108151786
LINC01116,0.64628,0.11462285
ATE1,0.64599776,0.12516129
ZC3H3,0.6454895,0.10252399
TBX20,0.6449301,0.114791095
ZBP1,0.6448957,0.14328355
ITGAL,0.64371794,0.14295894
OR6A2,0.6434923,0.12557565
TCN1,0.64250404,0.1321137
FXR1,0.6420234,0.15926406
MYMK,0.64180064,0.12703544
RYK,0.64175314,0.1452183
OVCH1,0.6414681,0.11290054
DCST1,0.64145195,0.12715131
CYBC1,0.6407003,0.1334923
FAM151B,0.640494,0.12858202
CSPG4,0.64035094,0.11123906
NADSYN1,0.64001197,0.13106118
FILIP1,0.6399407,0.11992306
MRPL58,0.63966304,0.16419217
CDC20B,0.6393062,0.11564864
SPATA4,0.6386239,0.1809525
RNF135,0.6384941,0.17435046
LINC01667,0.6384494,0.13346969
MRPL27,0.6381343,0.11776137
TULP1,0.63784784,0.11747128
LINC00652,0.6378296,0.13885318
NAP1L2,0.63777626,0.101239204
LINC01364,0.6377343,0.11152653
TRIM34,0.63763815,0.119245045
EAF2,0.63761204,0.10653273
MAP1B,0.63756114,0.1359395
PHTF2,0.63723874,0.09617336
CASKIN1,0.6363892,0.14274225
LYL1,0.6360534,0.113588534
BFSP2,0.6358139,0.14911625
CLDN25,0.63571894,0.12895262
PRPH2,0.63527066,0.1444407
YIPF1,0.63517165,0.112371236
OR10S1,0.6350442,0.0955431
MPND,0.63488543,0.1041323
TPM4,0.6348765,0.12270296
PTPRN,0.63456964,0.119301386
CASP12,0.63452065,0.10884168
TM4SF20,0.63367945,0.112084545
OR51I1,0.63360906,0.10472811
DHX34,0.6335232,0.13483597
SFXN2,0.6334462,0.15375862
C20orf194,0.63332546,0.14338756
NASP,0.6331258,0.11563278
BICRAL,0.63310295,0.11414756
LMNB2,0.6330087,0.09397903
CAMSAP2,0.632986,0.11198673
ZSWIM2,0.6329635,0.12597513
STX12,0.63280666,0.10872582
GRIN1,0.6327105,0.115864195
EPHA5,0.6325049,0.10589969
NLGN4Y,0.6324892,0.13666569
NEXN-AS1,0.6320851,0.13082938
C17orf107,0.63204324,0.12826876
LINC02995,0.63188237,0.12460492
VRK2,0.63168037,0.096688166
TRPV5,0.6316607,0.10450112
CAGE1,0.6314862,0.1276939
AFM,0.6313991,0.12600535
CARD18,0.63124204,0.13656709
CARD6,0.6307608,0.11720402
GALNS,0.6307141,0.15439674
KRTAP2-3,0.63068193,0.1083144
FSHB,0.6304413,0.13537368
CYS1,0.6304132,0.1397676
DOP1B,0.629772,0.10557191
LOC100130051,0.6297312,0.122565955
MIP,0.6294941,0.122322895
GPAT4,0.629444,0.16011982
GAB4,0.6294345,0.109105796
THOC3,0.62890816,0.144847
HEXB,0.628317,0.11450752
CDO1,0.6281893,0.1266252
GSTA5,0.6281856,0.104471125
IAPP,0.628032,0.10506481
SPARCL1,0.62780654,0.108341135
C6orf15,0.6277329,0.13342309
IFI6,0.6273348,0.16022678
DDX50,0.62719864,0.1079945
DCAF12L2,0.62716275,0.123297185
SLC5A12,0.62695706,0.13260905
SRPRA,0.6268986,0.12447335
SDF2L1,0.6268861,0.12874131
PRAF2,0.6266358,0.1429174
PLEKHA2,0.62638515,0.086858384
RCAN2,0.6262212,0.13026704
TRDV2,0.62617546,0.12285255
CSAD,0.62586856,0.1263637
CPED1,0.6258655,0.12523834
ZNF773,0.625777,0.13431226
GABRG2,0.6256516,0.14929318
LOC100129233,0.62531537,0.11368961
CDV3,0.62511396,0.13069901
TRPA1,0.6248988,0.12158347
IGFL3,0.6248429,0.11003508
DDIAS,0.62469834,0.10970511
RHBDL1,0.6246743,0.17877671
HAS3,0.6246735,0.19180255
TGS1,0.6246184,0.11008574
SERF1B,0.62459254,0.14237672
GSDMB,0.62446284,0.1093324
CYP4A11,0.6242345,0.15333751
APOA2,0.6238298,0.13403751
MIR600HG,0.6238107,0.12545091
ARHGAP32,0.6237844,0.14008665
FAM149A,0.6235934,0.1008668
ADAMTSL1,0.62348694,0.12255481
OR4X1,0.6234148,0.12094992
ZFY,0.62256056,0.11298713
ANKRD28,0.62253886,0.15067266
PRRG3,0.62182826,0.12198685
ANAPC13,0.62180424,0.099272005
METTL21EP,0.6213573,0.16449532
ZNF436-AS1,0.62119997,0.14769265
THBD,0.62109274,0.12912507
CCDC158,0.6209178,0.08983809
SGCA,0.6208988,0.1162536
GOLGA6L2,0.62086457,0.107882306
DAG1,0.62080264,0.16051596
WDR75,0.62054145,0.11733178
PIK3C2A,0.62047523,0.13185582
TRPC5OS,0.62047195,0.10151937
ELK1,0.62024724,0.1255544
ZNF354C,0.620067,0.10759056
MMP19,0.6198749,0.09288465
BLCAP,0.6197138,0.09913408
ARL5C,0.6195307,0.1178069
NUB1,0.6194968,0.122200504
MDFI,0.61921865,0.11469345
SYDE1,0.61919266,0.09929023
SORD,0.6189996,0.15018268
ORC3,0.6189239,0.1063089
PEX1,0.6184192,0.1386068
OR2A20P,0.6181889,0.12597312
USP40,0.6181595,0.12952949
PDE7B-AS1,0.61798686,0.117131904
FDPS,0.6178676,0.14603782
TUBA1B,0.6176752,0.11971297
FBP2,0.6176651,0.109428056
NPC1L1,0.6176256,0.1494188
RPL13A,0.61755246,0.12803073
LINC02913,0.61749804,0.16391812
NOTUM,0.6171685,0.12586588
PPP4R1,0.6169516,0.1588773
KIFC2,0.6166465,0.13233584
LOC646484,0.6165703,0.113353066
GPRC5D,0.6165274,0.12091645
LRRC61,0.61650306,0.17183037
GPX2,0.616467,0.13810714
LACTB2,0.6161459,0.15133516
MED13L,0.6160106,0.12379843
BAIAP2-DT,0.6157684,0.116363496
LAPTM4A,0.61559117,0.10390871
RPS28,0.61557764,0.11647717
ABRAXAS2,0.615472,0.100817665
RAB35,0.6151874,0.12599966
FAM75D3,0.6150635,0.10263495
LRP5,0.6148175,0.12733649
MROH1,0.61481464,0.16065563
DEFB103B,0.61479694,0.13282913
C4B,0.6146741,0.15412967
TTPA,0.61459047,0.13767307
HNRNPDL,0.6142078,0.12550175
PRKCSH,0.61390454,0.13617307
SCGB2B2,0.6136598,0.13877209
FBXL19,0.6134243,0.1262832
BAG3,0.6130972,0.14905532
FAM3A,0.6127814,0.110993765
DUSP19,0.6127074,0.11728465
CDC73,0.6121318,0.09250708
DENND5B,0.61207515,0.16642274
PP2D1,0.6119741,0.110911496
ZNF233,0.61161983,0.15989968
KIR2DS5,0.61157453,0.14916618
GAB3,0.61145335,0.1127095
CEBPG,0.6113626,0.12318558
OR6C68,0.6112928,0.12088923
PCSK2,0.610976,0.10741821
MGC27382,0.61082625,0.12272684
CLEC4M,0.6106021,0.15156214
XPOT,0.61047953,0.1189944
CAPN11,0.610369,0.099311806
H1-4,0.61019313,0.14540401
PRKCQ,0.61015034,0.1819308
TM4SF19-TCTEX1D2,0.61007965,0.14191392
VHL,0.61003906,0.11906876
PCDHGB2,0.6099724,0.15114118
KRT38,0.6099507,0.13030672
