rank,gene,mean_gate_score,std_gate_score
1,FGF2,0.7904984,0.091650374
2,TRIP6,0.7440036,0.09598146
3,SULT1E1,0.7298202,0.11451317
4,PSAP,0.72554266,0.13039707
5,LOC389834,0.7250135,0.119775206
6,CNGA2,0.72374153,0.1032776
7,REG1A,0.721626,0.117858745
8,CYB561D2,0.71922,0.112070136
9,PDCD2L,0.7188733,0.10433541
10,APBA1,0.7182166,0.11758822
11,CD163,0.71657854,0.111384615
12,IRAK1,0.7164152,0.103073984
13,MEFV,0.71611285,0.10955906
14,TMEM236,0.71449953,0.10596512
15,PCDHGA9,0.71008897,0.13032858
16,NUMB,0.70915526,0.12953995
17,AGFG1,0.7086577,0.1022159
18,ARCN1,0.7073719,0.119427145
19,SUGT1P1,0.70516336,0.12619409
20,ABCA12,0.7039809,0.13512163
