gene,residual_score,residual_std,gated_score,gated_std,residual_rank,gated_rank,rank_diff,abs_rank_diff
FGF2,0.7904984,0.091650374,0.5055633,0.08353066,1.0,1689.0,-1688.0,1688.0
TRIP6,0.7440036,0.09598146,0.50781983,0.14765435,2.0,1660.0,-1658.0,1658.0
SULT1E1,0.7298202,0.11451317,0.67952734,0.09937653,3.0,22.0,-19.0,19.0
PSAP,0.72554266,0.13039707,0.567941,0.07789281,4.0,722.0,-718.0,718.0
LOC389834,0.7250135,0.119775206,0.67200875,0.07897419,5.0,37.0,-32.0,32.0
CNGA2,0.72374153,0.1032776,0.5301767,0.08743666,6.0,1272.0,-1266.0,1266.0
REG1A,0.721626,0.117858745,0.41123885,0.07817304,7.0,2809.0,-2802.0,2802.0
CYB561D2,0.71922,0.112070136,0.6258264,0.09237589,8.0,184.0,-176.0,176.0
PDCD2L,0.7188733,0.10433541,0.60975105,0.091285996,9.0,282.0,-273.0,273.0
APBA1,0.7182166,0.11758822,0.60492307,0.080837525,10.0,319.0,-309.0,309.0
CD163,0.71657854,0.111384615,0.5236133,0.07864698,11.0,1380.0,-1369.0,1369.0
IRAK1,0.7164152,0.103073984,0.5729079,0.08564196,12.0,665.0,-653.0,653.0
MEFV,0.71611285,0.10955906,0.5500246,0.10791713,13.0,972.0,-959.0,959.0
TMEM236,0.71449953,0.10596512,0.5982694,0.082972966,14.0,380.0,-366.0,366.0
PCDHGA9,0.71008897,0.13032858,0.41588113,0.07675258,15.0,2777.0,-2762.0,2762.0
NUMB,0.70915526,0.12953995,0.5333732,0.1043508,16.0,1225.0,-1209.0,1209.0
AGFG1,0.7086577,0.1022159,0.5018224,0.08036465,17.0,1753.0,-1736.0,1736.0
ARCN1,0.7073719,0.119427145,0.53589207,0.096451715,18.0,1192.0,-1174.0,1174.0
SUGT1P1,0.70516336,0.12619409,0.50267506,0.08972156,19.0,1735.0,-1716.0,1716.0
ABCA12,0.7039809,0.13512163,0.605789,0.08701013,20.0,314.0,-294.0,294.0
ZSCAN1,0.70345306,0.105835095,0.50671333,0.13086359,21.0,1678.0,-1657.0,1657.0
FAM9C,0.70248425,0.11323364,0.5895208,0.06999317,22.0,467.0,-445.0,445.0
C19orf44,0.7013262,0.11638968,0.471942,0.14880484,23.0,2259.0,-2236.0,2236.0
ADGRF3,0.69987655,0.11137865,0.5044273,0.087776475,24.0,1701.0,-1677.0,1677.0
ZNF679,0.6989945,0.087317534,0.5132095,0.09074562,25.0,1570.0,-1545.0,1545.0
CXorf1,0.69873244,0.13109249,0.65705615,0.08834568,26.0,63.0,-37.0,37.0
TTTY2,0.6971008,0.16973072,0.55025256,0.06883223,27.0,969.0,-942.0,942.0
ANP32E,0.6943915,0.112651646,0.6013386,0.11119648,28.0,354.0,-326.0,326.0
CCDC89,0.6932721,0.12908383,0.5672055,0.08408264,29.0,732.0,-703.0,703.0
KCNA10,0.6920295,0.12773307,0.6533434,0.09827745,30.0,71.0,-41.0,41.0
WNT7A,0.691299,0.13247918,0.5383718,0.077118576,31.0,1144.0,-1113.0,1113.0
C17orf97,0.6895418,0.1007057,0.5904705,0.10990224,32.0,456.0,-424.0,424.0
SLC36A3,0.68868893,0.12750755,0.5102544,0.08437235,33.0,1619.0,-1586.0,1586.0
SRGAP1,0.6880642,0.11604887,0.5860132,0.08517389,34.0,501.0,-467.0,467.0
GLI2,0.6874865,0.09952905,0.59317094,0.1173034,35.0,433.0,-398.0,398.0
SIGLEC17P,0.68684936,0.122058176,0.44934955,0.08713433,36.0,2529.0,-2493.0,2493.0
CCNQ,0.6860866,0.11021074,0.5243119,0.11835247,37.0,1365.0,-1328.0,1328.0
PSMD8,0.68527734,0.123605065,0.3800057,0.109804355,38.0,2941.0,-2903.0,2903.0
ZBTB14,0.68508786,0.1242273,0.6267249,0.08034356,39.0,181.0,-142.0,142.0
ACSM5,0.68435407,0.1372216,0.5671758,0.09561718,40.0,733.0,-693.0,693.0
CD3G,0.6838347,0.113587834,0.67921716,0.091985896,41.0,24.0,17.0,17.0
SERPINE1,0.68378204,0.114277154,0.40653187,0.1009115,42.0,2829.0,-2787.0,2787.0
PYY,0.6825446,0.123238035,0.53814995,0.09558898,43.0,1149.0,-1106.0,1106.0
DEPDC7,0.6823912,0.1154356,0.47978464,0.08957271,44.0,2136.0,-2092.0,2092.0
GOLGA6L5P,0.6807133,0.10441838,0.49783647,0.10184885,45.0,1819.0,-1774.0,1774.0
SMIM17,0.6801891,0.09724218,0.4963731,0.073943876,46.0,1847.0,-1801.0,1801.0
SURF2,0.6800559,0.10871448,0.53413314,0.13616209,47.0,1213.0,-1166.0,1166.0
RIF1,0.6799192,0.14210932,0.5233228,0.07883546,48.0,1387.0,-1339.0,1339.0
PBX4,0.679904,0.13787436,0.5068763,0.093197174,49.0,1673.0,-1624.0,1624.0
SLAMF6,0.67947704,0.15923195,0.5462801,0.095803924,50.0,1030.0,-980.0,980.0
PROX1,0.67855096,0.11150805,0.56676733,0.097678386,51.0,736.0,-685.0,685.0
